ID_TRAM,UTM_IX,UTM_FX,UTM_IY,UTM_FY,LATITUD_I,LONGITUD_I,LATITUD_F,LONGITUD_F,ID_TARIFA,ID_HORARIO,ID_TARIFA1,ID_HORARIO1,TIPUS_TRAM,ADREÇA,COLOR_RGB,PLACES
35," 431649.878"," 431629.626"," 4582044.521"," 4582023.379","41.387021797146","2.182487911865","41.386829661945","2.182248109405",52,13,,13,"VR","PRINCESA, 54, C","008000",12
35," 431656.801"," 431653.811"," 4582051.748"," 4582048.627","41.387087474902","2.182569886955","41.387059111764","2.182534482377",52,13,,13,"VR","PRINCESA, 54, C","008000",12
35," 431669.432"," 431660.842"," 4582064.933"," 4582055.966","41.38720729786","2.182719450845","41.387125807383","2.182617736473",52,13,,13,"VR","PRINCESA, 54, C","008000",12
35," 431687.668"," 431681.204"," 4582083.970"," 4582077.223","41.38738030233","2.182935384475","41.387318986906","2.182858843607",52,13,,13,"VR","PRINCESA, 54, C","008000",12
50," 431735.961"," 431697.385"," 4581800.277"," 4581833.102","41.384829334125","2.183544872314","41.38512169698","2.183079867741",52,13,,13,"VR","ANTIC DE SANT JOAN, 3, C","008000",7
55," 431575.183"," 431604.739"," 4582607.956"," 4582577.521","41.392089992577","2.181531016047","41.391818395321","2.181887932141",54,13,52,13,"VM","ROGER DE FLOR, 52, C","00FF00",18
55," 431609.981"," 431622.128"," 4582572.153"," 4582559.585","41.391770494465","2.181951230463","41.391658334216","2.182097922414",54,13,52,13,"VM","ROGER DE FLOR, 52, C","00FF00",18
58," 431404.924"," 431379.859"," 4582667.225"," 4582642.315","41.392609293252","2.179488065907","41.392382805047","2.179191116901",54,13,52,13,"VM","ALI BEI, 18, C","00FF00",7
58," 431418.476"," 431412.510"," 4582680.687"," 4582674.759","41.392731693478","2.179648620148","41.392677794629","2.179577939428",54,13,52,13,"VM","ALI BEI, 18, C","00FF00",7
58," 431430.004"," 431424.097"," 4582692.068"," 4582686.194","41.392835178549","2.179785203957","41.392781771161","2.179715222525",54,13,52,13,"VM","ALI BEI, 18, C","00FF00",7
59," 431462.943"," 431450.887"," 4582709.508"," 4582709.617","41.392995058166","2.180177174032","41.39299501248","2.180032974142",46,82,,82,"AZL","ROGER DE FLOR, 55, C","0000FF",6
60," 431494.452"," 431477.634"," 4582679.875"," 4582697.232","41.392730854751","2.180557367428","41.392885746867","2.180354264474",54,13,52,13,"VM","ROGER DE FLOR, 49, C","00FF00",7
60," 431507.216"," 431501.356"," 4582666.808"," 4582672.866","41.392614254668","2.180711499523","41.392668316631","2.180640730312",54,13,52,13,"VM","ROGER DE FLOR, 49, C","00FF00",7
67," 431914.107"," 431914.260"," 4582809.477"," 4582821.523","41.393933740873","2.185561780723","41.394042245457","2.185562256476",46,82,,82,"AZL","SARDENYA, 91, C","0000FF",6
68," 431731.324"," 431740.947"," 4582643.146"," 4582642.990","41.392420196767","2.183394443145","41.392419608457","2.183509549128",46,82,,82,"AZL","ALMOGAVERS, 27, C","0000FF",5
69," 431786.344"," 431782.338"," 4583039.414"," 4583036.358","41.395993829006","2.184007837201","41.395965965544","2.18396026816",54,13,52,13,"VM","ALI BEI, 102, C","00FF00",7
69," 431799.763"," 431767.896"," 4583051.367"," 4583020.333","41.396102621013","2.184166987451","41.39582041225","2.183789341922",54,13,52,13,"VM","ALI BEI, 102, C","00FF00",7
69," 431799.763"," 431771.369"," 4583051.367"," 4583023.715","41.396102621013","2.184166987451","41.395851166664","2.183830499189",54,13,52,13,"VM","ALI BEI, 102, C","00FF00",7
73," 431877.196"," 431874.127"," 4583127.149"," 4583124.155","41.396791709684","2.185084592583","41.396764484435","2.185048222533",54,13,52,13,"VM","ALI BEI, 128, C","00FF00",12
73," 431882.759"," 431879.915"," 4583132.610"," 4583129.864","41.396841365053","2.18515051474","41.39681639248","2.185116807859",54,13,52,13,"VM","ALI BEI, 128, C","00FF00",12
73," 431893.352"," 431883.155"," 4583142.948"," 4583133.001","41.396935370779","2.18527605006","41.396844920112","2.185155207133",54,13,52,13,"VM","ALI BEI, 128, C","00FF00",12
73," 431919.668"," 431902.348"," 4583168.563"," 4583151.666","41.397168298928","2.18558792436","41.397014650713","2.185382666877",54,13,52,13,"VM","ALI BEI, 128, C","00FF00",12
73," 431938.146"," 431931.388"," 4583186.604"," 4583180.169","41.397332348155","2.185806904639","41.39727381974","2.185726798026",54,13,52,13,"VM","ALI BEI, 128, C","00FF00",12
73," 431943.119"," 431939.296"," 4583188.532"," 4583187.225","41.397350133433","2.185866168171","41.39733803848","2.185820589568",54,13,52,13,"VM","ALI BEI, 128, C","00FF00",12
74," 431963.873"," 431952.539"," 4583169.784"," 4583182.971","41.39718303675","2.186116505486","41.397300845743","2.185979462216",54,13,52,13,"VM","LEPANT, 123, C","00FF00",13
74," 432003.060"," 431964.267"," 4583124.482"," 4583169.354","41.396778341173","2.18659029233","41.397179197313","2.186121266273",54,13,52,13,"VM","LEPANT, 123, C","00FF00",13
75," 431951.544"," 431952.760"," 4583195.746"," 4583192.035","41.397415818825","2.18596612586","41.397382498818","2.185981087005",54,13,52,13,"VM","ALI BEI, 132 (ISLETA), C","00FF00",12
75," 431952.643"," 431951.682"," 4583200.721"," 4583196.617","41.397460718857","2.185978711571","41.397423675111","2.185967678554",54,13,52,13,"VM","ALI BEI, 132 (ISLETA), C","00FF00",12
75," 431956.138"," 431953.207"," 4583204.458"," 4583201.369","41.397494671645","2.186020094151","41.397466602752","2.185985384565",54,13,52,13,"VM","ALI BEI, 132 (ISLETA), C","00FF00",12
75," 432000.951"," 431962.083"," 4583247.921"," 4583209.914","41.397889908995","2.186551206736","41.39754431377","2.186090587269",54,13,52,13,"VM","ALI BEI, 132 (ISLETA), C","00FF00",12
77," 431375.687"," 431382.425"," 4582647.147"," 4582653.667","41.392425968198","2.179140673591","41.392485264979","2.179220519516",54,13,52,13,"VM","ALI BEI, 37, C","00FF00",3
77," 431399.502"," 431406.160"," 4582670.687"," 4582677.292","41.392640011109","2.179422828084","41.392700066421","2.179501708121",54,13,52,13,"VM","ALI BEI, 37, C","00FF00",3
77," 431413.260"," 431416.375"," 4582684.226"," 4582687.269","41.392763122486","2.179585837269","41.392790794677","2.179622747409",54,13,52,13,"VM","ALI BEI, 37, C","00FF00",3
79," 431575.592"," 431595.762"," 4581485.415"," 4581515.723","41.381979921701","2.181662679035","41.382254604299","2.181900447038",46,81,,81,"AZL","CONSOLAT DE MAR, 15, C","0000FF",7
82," 431435.914"," 431404.592"," 4582883.307"," 4582852.731","41.394558063453","2.17983423782","41.394280012074","2.179463086451",54,13,52,13,"VM","AUSIAS MARC, 78, C","00FF00",9
